text,actual,predicted,latency_sec,ram_gb,vram_gb,prompt_tokens,completion_tokens
buahnya bagus... kurirnya ok sellernya juga ok,Happy,Happy,1.576019525527954,10.77968978881836,0.0,1984,7
"Ada sedikit cacat, selainnya oke",Happy,Happy,1.3522307872772217,10.60824966430664,0.0,1979,7
Jadi semangat mancing.,Happy,Happy,0.964531421661377,10.590377807617188,0.0,1977,7
Cepat tiba n kemasan bagus. barangnya juga bagus,Happy,Happy,1.0160527229309082,10.62070083618164,0.0,1983,7
Produk sesuai deskripsi??. Variasi produk beragam. Berfungsi dengan baik.,Happy,Happy,0.7042942047119141,10.603462219238281,0.0,1987,7
pelayanan memuaskan dan barang sesuai ??,Happy,Happy,1.4483764171600342,10.603111267089844,0.0,1980,7
"Barang bagus dan cepat sekali sampainya ke cianjur, hanya 2 hari.Best seller",Happy,Happy,1.5333244800567627,10.601940155029297,0.0,1990,7
Bagus mantab jernih,Happy,Happy,0.8455438613891602,10.597663879394531,0.0,1978,7
"trmksh barang sesuai pesanan, fungsi normal... tingkatkan terus pelayanan...",Happy,Happy,0.7747890949249268,10.603118896484375,0.0,1986,7
"Green screen sudah nyampe, bahan cukup tebal, mirip ntah sama dengan Positiveie bag yg bagus, warna hijau cerah, oke lah buat green screen",Happy,Happy,0.7164881229400635,10.60528564453125,0.0,2005,7
"lumayan lah, buat pemanasan",Happy,Happy,0.8196790218353271,10.60342025756836,0.0,1978,7
"paking rapih, kondisi barang datang mantap. kualitas sesuai harga.. joss",Happy,Happy,0.7480669021606445,10.60159683227539,0.0,1988,7
"produk asli original. suplemen bagus tanpa efek samping, semoga segera berproses utk menambah pigmen rambut. tks",Happy,Happy,0.7786729335784912,10.603893280029297,0.0,1999,7
barang bagus dan layanan bagus,Happy,Happy,0.7448649406433105,10.611713409423828,0.0,1976,7
"untuk harga sgitu bolehlah, dan penjual juga menjelaskan cara pakai dengan jelas dan teliti",Happy,Happy,0.7235257625579834,10.61117172241211,0.0,1993,7
"Cepet nyampe, seller oke",Happy,Happy,0.7068159580230713,10.531906127929688,0.0,1978,7
barang sdh nyampe dgn baik. senang banget terima paketnya. semoga sapunya awet. terima kasih. bersih bersih rumah. bersih rapi. bebas debu.,Happy,Happy,1.246913194656372,10.527435302734375,0.0,2013,7
"Kainnya gk tipis, standar tebal batik biasa, adem , lembut, variant yg dikirim penjual , sesuai.",Happy,Happy,0.7686903476715088,10.520278930664062,0.0,1999,7
"Barusan saya tes untuk ambil sampah di sungai dekat rumah, untuk kekuatan daya cekram si alatnya masuk akal untuk harga segini. untuk ambil plastik mudah, tapi untuk ambil sampah kain atau sampah yg udah kekubur agak sulit karena kurang kuat cekramannya",Happy,Fear,1.159395456314087,10.522205352783203,0.0,2033,7
"alhamdulillah, produk ini sangat membantu. yang biasanya membersihkan wc pakai sikat, berisik, kerak tertinggal pada sikat, kelihatan kotor. sekarang tergantikan dengan cooger sikat toilet ini. bahan karetnya membantu saya membersihkan wc disegala waktu, tidak lagi membangunkan anak saya yang masih bayi karena berisik bunyi sikat saat membersihkan toilet / ember mandi. bahkan bisa membersihkan disela-sela bagian dalam dudukan wc (yang tidak bisa dijangkau sikat toilet konvensional). sedikit tips untuk menempelkan ke dinding keramik kamar mandi. setelah dibersihkan dengan lap kering/tisu kering, bisa ditambahkan hair dryer/korek api dibagian yang akan ditempel perekatnya. cara menempelkannya seperti memasang pelindung kaca layar hp. dikeluarkan bagian udara didalamnya dengan cara menempelkan bagian atas/bagian bawah (tergantung mana duluan). gosok2 pakai jari/kuku udara didalamnya sampai tidak ada udara didalam perekatnya.. cooger emang sesuai sama slogannya. rekomended jelas.",Happy,Love,0.9604101181030273,10.523262023925781,0.0,2208,7
"sesuai dengan pesanan, bahan halus, kayaknya adem...",Happy,Happy,0.7654581069946289,10.533905029296875,0.0,1985,7
"sudah terima packingnya rapi, bahannya lembut, enak dipake, kurir yg selalu ramah, mkshPotongannya rapi.",Happy,Happy,0.8363626003265381,10.447547912597656,0.0,2004,7
