text,actual,predicted,latency_sec,ram_gb,vram_gb
buahnya bagus... kurirnya ok sellernya juga ok,Happy,Happy,46.22397494316101,11.889461517333984,3.43377685546875
"Ada sedikit cacat, selainnya oke",Happy,Happy,4.902066946029663,11.892154693603516,3.43377685546875
Jadi semangat mancing.,Happy,Happy,5.4348742961883545,11.900466918945312,3.43377685546875
Cepat tiba n kemasan bagus. barangnya juga bagus,Happy,Happy,4.846891164779663,11.894599914550781,3.43377685546875
Produk sesuai deskripsi??. Variasi produk beragam. Berfungsi dengan baik.,Happy,Happy,5.559908151626587,11.89797592163086,3.43377685546875
pelayanan memuaskan dan barang sesuai ??,Happy,Happy,4.871577739715576,11.890846252441406,3.43377685546875
"Barang bagus dan cepat sekali sampainya ke cianjur, hanya 2 hari.Best seller",Happy,Happy,5.615705966949463,11.908660888671875,3.43377685546875
Bagus mantab jernih,Happy,Love,4.819050312042236,11.990608215332031,3.43377685546875
"trmksh barang sesuai pesanan, fungsi normal... tingkatkan terus pelayanan...",Happy,Happy,5.031635999679565,11.983333587646484,3.43377685546875
"Green screen sudah nyampe, bahan cukup tebal, mirip ntah sama dengan Positiveie bag yg bagus, warna hijau cerah, oke lah buat green screen",Happy,Love,6.025238752365112,11.919303894042969,3.43377685546875
"lumayan lah, buat pemanasan",Happy,Happy,5.414623975753784,11.916767120361328,3.43377685546875
"paking rapih, kondisi barang datang mantap. kualitas sesuai harga.. joss",Happy,Happy,4.921605110168457,11.797218322753906,3.43377685546875
"produk asli original. suplemen bagus tanpa efek samping, semoga segera berproses utk menambah pigmen rambut. tks",Happy,Love,5.347269296646118,11.794811248779297,3.43377685546875
barang bagus dan layanan bagus,Happy,Happy,4.807442665100098,11.792808532714844,3.43377685546875
"untuk harga sgitu bolehlah, dan penjual juga menjelaskan cara pakai dengan jelas dan teliti",Happy,Happy,4.92421817779541,11.78531265258789,3.43377685546875
"Cepet nyampe, seller oke",Happy,Happy,4.80260443687439,11.786319732666016,3.43377685546875
barang sdh nyampe dgn baik. senang banget terima paketnya. semoga sapunya awet. terima kasih. bersih bersih rumah. bersih rapi. bebas debu.,Happy,Happy,6.0914626121521,11.827617645263672,3.43377685546875
"Kainnya gk tipis, standar tebal batik biasa, adem , lembut, variant yg dikirim penjual , sesuai.",Happy,Happy,5.935655832290649,11.83157730102539,3.43377685546875
"Barusan saya tes untuk ambil sampah di sungai dekat rumah, untuk kekuatan daya cekram si alatnya masuk akal untuk harga segini. untuk ambil plastik mudah, tapi untuk ambil sampah kain atau sampah yg udah kekubur agak sulit karena kurang kuat cekramannya",Happy,Fear,6.39105224609375,11.822105407714844,3.43377685546875
"alhamdulillah, produk ini sangat membantu. yang biasanya membersihkan wc pakai sikat, berisik, kerak tertinggal pada sikat, kelihatan kotor. sekarang tergantikan dengan cooger sikat toilet ini. bahan karetnya membantu saya membersihkan wc disegala waktu, tidak lagi membangunkan anak saya yang masih bayi karena berisik bunyi sikat saat membersihkan toilet / ember mandi. bahkan bisa membersihkan disela-sela bagian dalam dudukan wc (yang tidak bisa dijangkau sikat toilet konvensional). sedikit tips untuk menempelkan ke dinding keramik kamar mandi. setelah dibersihkan dengan lap kering/tisu kering, bisa ditambahkan hair dryer/korek api dibagian yang akan ditempel perekatnya. cara menempelkannya seperti memasang pelindung kaca layar hp. dikeluarkan bagian udara didalamnya dengan cara menempelkan bagian atas/bagian bawah (tergantung mana duluan). gosok2 pakai jari/kuku udara didalamnya sampai tidak ada udara didalam perekatnya.. cooger emang sesuai sama slogannya. rekomended jelas.",Happy,Love,9.533787727355957,11.813705444335938,3.43377685546875
"sesuai dengan pesanan, bahan halus, kayaknya adem...",Happy,Happy,4.862361669540405,11.762786865234375,3.43377685546875
"sudah terima packingnya rapi, bahannya lembut, enak dipake, kurir yg selalu ramah, mkshPotongannya rapi.",Happy,Happy,5.275168180465698,11.757240295410156,3.43377685546875
Barang Sesuai Deskripsi. Produk Original. Packaging Bagus.,Happy,Happy,4.865901470184326,11.74648666381836,3.43377685546875
"mantap, bagus dan teba",Happy,Happy,4.7867982387542725,11.745513916015625,3.43377685546875
Sesuai deskripsi dan pesanan. Terimakasih,Happy,Happy,5.3091936111450195,11.75326156616211,3.43377685546875
"Produk Sesuai. Material Produk Bagus. Cocok untuk di jadikan tmpt penyimpanan masker.. Jadi lbh rapi dan enak di lihat, gampang untuk mengambil masker..",Happy,Happy,5.432570695877075,11.748355865478516,3.43377685546875
"wae keren. alatnya berasa jadi pengrajin rokok. matap seler ramah pros�s cepat , pengiriman juga cepat.",Happy,Happy,5.354715824127197,11.729011535644531,3.43377685546875
Bagus dan ini order saya yang kedua.,Happy,Happy,5.440621614456177,11.733154296875,3.43377685546875
Teksturnya creamy. Gampang dipakai. Packaging aman ??.,Happy,Happy,5.484862565994263,11.732349395751953,3.43377685546875
"masker bagus,sesuai harga`",Happy,Happy,4.8123698234558105,11.730728149414062,3.43377685546875
bagus banget bahan nya juga adem ini bakal jadi langganan saya order baju tidur untuk suami ????,Happy,Love,5.952272891998291,11.72705078125,3.43377685546875
respon baik mutu lumayan hrg terjangkau,Happy,Happy,4.843045234680176,11.733566284179688,3.43377685546875
Kualitas Produk Bagus. Produk Sesuai,Happy,Happy,5.408851861953735,11.736587524414062,3.43377685546875
"Bahan bagus, kain bisa melebar dan elastis",Happy,Happy,4.843536853790283,11.736557006835938,3.43377685546875
"Cepat, rapih dan aman. Saya mau beli lagi nanti ya",Happy,Love,5.552836179733276,11.730045318603516,3.43377685546875
Cepat dan packing amanah bgt.kualitas susu sdh terjamin enak dan bermanfaat.thanks.,Happy,Love,4.9934165477752686,11.734199523925781,3.43377685546875
barang telah sampai dengan packaging yg bagus,Happy,Happy,5.446843862533569,11.727668762207031,3.43377685546875
ukurannya ada yg besar ada yg kecil tapi lumayan dengan harga segitu makasih ya??,Happy,Happy,4.926020860671997,11.722221374511719,3.43377685546875
"bagus, bisa nempel di kayu",Happy,Happy,5.190934181213379,11.725910186767578,3.43377685546875
"alhamdulillah barang sampai di tgl 6/11. Isi dusnya : instruction manual book, kartu garansi, stiker boya, tas kecil boya, seperangkat mic, batereinya & jack adaptor (kayaknya untuk koneksi ke amplifier).",Happy,Happy,6.274020671844482,11.732845306396484,3.43377685546875
Jahitannya rapi. Warnanya cantik ??. Bahannya lembut. Ukuran sesuai. Nyaman dipakai ?. Modelnya cantik ??. Bahannya adem.,Happy,Love,5.9501588344573975,11.728141784667969,3.43377685546875
Mantap keren. Cuma harus colok listrik kalau mau pakai fitur always-on. Kalau pake batre (AAA 3biji) harus dipencet dulu baru nyala,Happy,Happy,6.109689474105835,11.782646179199219,3.43377685546875
Pertama x custom dan hasil ny sesuai request,Happy,Love,4.823003530502319,11.783660888671875,3.43377685546875
mantap paten joss,Happy,Happy,5.445448160171509,11.782939910888672,3.43377685546875
packing rapih aman makasih,Happy,Happy,4.766101360321045,11.774211883544922,3.43377685546875
warnanya ga sesuai photo di deskripsi warna sepatu di deskripsi aga' crem yang dateng abu2x gelap,Sadness,Sadness,5.472671985626221,11.776878356933594,3.43377685546875
Ada 1 shade yg salah kirim,Sadness,Fear,5.442350625991821,11.779960632324219,3.43377685546875
barang biasa aja ...bahan kurang bgitu bagus,Sadness,Sadness,5.078159332275391,11.785087585449219,3.43377685546875
Jahitannya berantakan banget. gak kenceng aku benyeng dikit udah pada copot jahitannya...sedih,Sadness,Sadness,5.519925594329834,11.762401580810547,3.43377685546875
"bahan ny sih bagus, cm sayang pesen nya 2 datang ny 1. d chat ke seller ny jg d d baca, boro-boro ada penjelasan. seller g asiiiik g bs d ajak komunikasi",Sadness,Sadness,6.288975954055786,11.760848999023438,3.43377685546875
"Packingnya cm kresek krg aman, jd pas dateng peot pdhl buat d jual, haduhh..",Sadness,Sadness,6.138058423995972,11.764392852783203,3.43377685546875
"Kecewa dengan waktu pengiriman. Order jam 11.52 sengaja pilih sameday biar hari itu juga sampainya karena butuh cepat gendongan ini. Malah dikirim hari berikutnya. Kalau tidak bisa kirim di hari yang sama, tidak perlu diaktifkan pilihan kurir samedaynya. Atau infokan, untuk sameday itu maksimal order jam berapa baru bisa dikirim di hari yang sama.",Sadness,Sadness,7.042349338531494,11.775253295898438,3.43377685546875
"Dlm ordernya sdh sy tambah 'bubble wrap' (+ rp 10.000), tp dikirimnya tanpa bubble. Lagian ordernya pagi2 n minta spy dikirimnya lbh cepat (instant), ternyata tibanya jam 16an",Sadness,Anger,6.4657862186431885,11.77157211303711,3.43377685546875
"bungkusan barang robek, ada bagian kertas yg sudah kuning menandakan barang sudah lama terbuka. sangat mengecewakan",Sadness,Sadness,6.177978277206421,11.796127319335938,3.43377685546875
balonnya kecil sekali ga sesuai gambar..ga bagus kualitas..ketipu dr gambar nya..kecewa,Sadness,Sadness,5.534884452819824,11.799766540527344,3.43377685546875
Batre tidak sesuai ukuran dan tidak ada nano receiver.,Sadness,Fear,4.8879663944244385,11.790447235107422,3.43377685546875
"overpriced.. analisanya kurang dalam. kualitas hard cover kurang bagus, .masa begitu sampe lgsg penyok",Sadness,Anger,6.121897220611572,11.799293518066406,3.43377685546875
boros batre,Sadness,Sadness,4.988373517990112,11.795562744140625,3.43377685546875
yg micro ini sering rusak coba di tingkatkn lg kualitasnya,Sadness,Anger,5.752625226974487,11.798725128173828,3.43377685546875
sambungannya tidak rapih..,Sadness,Fear,5.433034181594849,11.749561309814453,3.43377685546875
"Barang sampai dengan selamat, mic berfungsi tapi emang kualitasnya tidak sampai bisa meredam suara di sekitar",Sadness,Fear,5.977721929550171,11.730278015136719,3.43377685546875
kurang bagus,Sadness,Sadness,5.030898094177246,11.779300689697266,3.43377685546875
model lumayan kren tapi kecewa di batre senternya hnya bertahan skitar 3 jam aja.,Sadness,Sadness,5.5383217334747314,11.787559509277344,3.43377685546875
tidak berfugsi,Sadness,Sadness,5.401343822479248,11.79043960571289,3.43377685546875
Baru seminggu pemakaian sudah tidak bisa nyala sebelah,Sadness,Sadness,5.163564205169678,11.50082778930664,3.43377685546875
"Barang gak berfungsi, kalo mau dikirim cek dulu bos senter gak hidup udah di cas seharian, packing juga tidak bagus jadi bungkusnya ada yg pecah",Sadness,Anger,5.668421268463135,11.51163101196289,3.43377685546875
barang dikrm beda dgn yg pesan,Sadness,Fear,5.191942453384399,11.55715560913086,3.43377685546875
"Beli 3 barang, hanya dikirim 2. Saat komplain dijanjikan barang akan dikirim yg kurangnya. Ternyata dikembalikan uang. Sangat mengecewakan. Sepertinya tidak mau rugi bayar ongkir lagi,jd barang tdk dikirim.",Sadness,Sadness,5.756045579910278,11.481281280517578,3.43377685546875
