text,actual,predicted,latency_sec,ram_gb,vram_gb,prompt_tokens,completion_tokens
buahnya bagus... kurirnya ok sellernya juga ok,Happy,Happy,2.7686450481414795,13.444854736328125,0.0,784,7
"Ada sedikit cacat, selainnya oke",Happy,Sadness,6.74424147605896,13.418281555175781,0.0,780,8
Jadi semangat mancing.,Happy,Happy,2.4320685863494873,13.359909057617188,0.0,776,7
Cepat tiba n kemasan bagus. barangnya juga bagus,Happy,Happy,2.8974435329437256,13.493515014648438,0.0,784,7
Produk sesuai deskripsi??. Variasi produk beragam. Berfungsi dengan baik.,Happy,Fear,5.867361545562744,13.386852264404297,0.0,788,7
pelayanan memuaskan dan barang sesuai ??,Happy,Happy,4.225078344345093,13.302238464355469,0.0,781,7
"Barang bagus dan cepat sekali sampainya ke cianjur, hanya 2 hari.Best seller",Happy,Happy,2.925078344345093,13.302238464355469,0.0,792,7
Bagus mantab jernih,Happy,Happy,4.569182872772217,13.312637329101562,0.0,779,7
"trmksh barang sesuai pesanan, fungsi normal... tingkatkan terus pelayanan...",Happy,Happy,5.3507634830474854,13.495899200439453,0.0,787,7
"Green screen sudah nyampe, bahan cukup tebal, mirip ntah sama dengan Positiveie bag yg bagus, warna hijau cerah, oke lah buat green screen",Happy,Happy,3.9911372661590576,13.391345977783203,0.0,804,7
"lumayan lah, buat pemanasan",Happy,Happy,3.3666930198669434,13.32186508178711,0.0,780,7
"paking rapih, kondisi barang datang mantap. kualitas sesuai harga.. joss",Happy,Happy,3.3919684886932373,13.324298858642578,0.0,790,7
"produk asli original. suplemen bagus tanpa efek samping, semoga segera berproses utk menambah pigmen rambut. tks",Happy,Happy,4.082128286361694,13.39053726196289,0.0,796,7
barang bagus dan layanan bagus,Happy,Happy,2.3127307891845703,13.574012756347656,0.0,777,7
"untuk harga sgitu bolehlah, dan penjual juga menjelaskan cara pakai dengan jelas dan teliti",Happy,Happy,2.669145345687866,13.636451721191406,0.0,792,7
"Cepet nyampe, seller oke",Happy,Happy,2.38662052154541,13.628364562988281,0.0,779,7
barang sdh nyampe dgn baik. senang banget terima paketnya. semoga sapunya awet. terima kasih. bersih bersih rumah. bersih rapi. bebas debu.,Happy,Happy,3.5796616077423096,13.634845733642578,0.0,806,7
"Kainnya gk tipis, standar tebal batik biasa, adem , lembut, variant yg dikirim penjual , sesuai.",Happy,Happy,3.3999316692352295,13.883781433105469,0.0,798,7
"Barusan saya tes untuk ambil sampah di sungai dekat rumah, untuk kekuatan daya cekram si alatnya masuk akal untuk harga segini. untuk ambil plastik mudah, tapi untuk ambil sampah kain atau sampah yg udah kekubur agak sulit karena kurang kuat cekramannya",Happy,Sadness,7.152231216430664,13.730270385742188,0.0,825,8
"alhamdulillah, produk ini sangat membantu. yang biasanya membersihkan wc pakai sikat, berisik, kerak tertinggal pada sikat, kelihatan kotor. sekarang tergantikan dengan cooger sikat toilet ini. bahan karetnya membantu saya membersihkan wc disegala waktu, tidak lagi membangunkan anak saya yang masih bayi karena berisik bunyi sikat saat membersihkan toilet / ember mandi. bahkan bisa membersihkan disela-sela bagian dalam dudukan wc (yang tidak bisa dijangkau sikat toilet konvensional). sedikit tips untuk menempelkan ke dinding keramik kamar mandi. setelah dibersihkan dengan lap kering/tisu kering, bisa ditambahkan hair dryer/korek api dibagian yang akan ditempel perekatnya. cara menempelkannya seperti memasang pelindung kaca layar hp. dikeluarkan bagian udara didalamnya dengan cara menempelkan bagian atas/bagian bawah (tergantung mana duluan). gosok2 pakai jari/kuku udara didalamnya sampai tidak ada udara didalam perekatnya.. cooger emang sesuai sama slogannya. rekomended jelas.",Happy,Love,4.000075578689575,13.714157104492188,0.0,997,7
"sesuai dengan pesanan, bahan halus, kayaknya adem...",Happy,Happy,3.004927158355713,13.696235656738281,0.0,786,7
