text,actual,predicted,latency_sec,ram_gb,vram_gb
buahnya bagus... kurirnya ok sellernya juga ok,Happy,Happy,40.09159827232361,13.359077453613281,3.55291748046875
"Ada sedikit cacat, selainnya oke",Happy,Sadness,22.472795724868774,13.393638610839844,3.55291748046875
Jadi semangat mancing.,Happy,Happy,22.130614757537842,13.190231323242188,3.55291748046875
Cepat tiba n kemasan bagus. barangnya juga bagus,Happy,Happy,22.25218105316162,13.234878540039062,3.55291748046875
Produk sesuai deskripsi??. Variasi produk beragam. Berfungsi dengan baik.,Happy,Happy,22.27620840072632,13.165287017822266,3.55291748046875
pelayanan memuaskan dan barang sesuai ??,Happy,Happy,22.127742767333984,13.135940551757812,3.55291748046875
"Barang bagus dan cepat sekali sampainya ke cianjur, hanya 2 hari.Best seller",Happy,Happy,22.450608253479004,13.376949310302734,3.55291748046875
Bagus mantab jernih,Happy,Happy,22.184038639068604,13.133106231689453,3.55291748046875
"trmksh barang sesuai pesanan, fungsi normal... tingkatkan terus pelayanan...",Happy,Happy,22.33578085899353,13.185428619384766,3.55291748046875
"Green screen sudah nyampe, bahan cukup tebal, mirip ntah sama dengan Positiveie bag yg bagus, warna hijau cerah, oke lah buat green screen",Happy,Happy,22.430021286010742,13.170886993408203,3.55291748046875
"lumayan lah, buat pemanasan",Happy,Happy,22.23837637901306,13.220699310302734,3.55291748046875
"paking rapih, kondisi barang datang mantap. kualitas sesuai harga.. joss",Happy,Happy,22.741920709609985,13.290107727050781,3.55291748046875
"produk asli original. suplemen bagus tanpa efek samping, semoga segera berproses utk menambah pigmen rambut. tks",Happy,Happy,22.953409433364868,13.586585998535156,3.55291748046875
barang bagus dan layanan bagus,Happy,Happy,23.197436332702637,14.122859954833984,3.55291748046875
"untuk harga sgitu bolehlah, dan penjual juga menjelaskan cara pakai dengan jelas dan teliti",Happy,Happy,23.343151330947876,13.440071105957031,3.55291748046875
"Cepet nyampe, seller oke",Happy,Happy,22.582221746444702,13.198265075683594,3.55291748046875
barang sdh nyampe dgn baik. senang banget terima paketnya. semoga sapunya awet. terima kasih. bersih bersih rumah. bersih rapi. bebas debu.,Happy,Happy,22.560757637023926,13.199234008789062,3.55291748046875
"Kainnya gk tipis, standar tebal batik biasa, adem , lembut, variant yg dikirim penjual , sesuai.",Happy,Happy,22.545093059539795,13.21542739868164,3.55291748046875
"Barusan saya tes untuk ambil sampah di sungai dekat rumah, untuk kekuatan daya cekram si alatnya masuk akal untuk harga segini. untuk ambil plastik mudah, tapi untuk ambil sampah kain atau sampah yg udah kekubur agak sulit karena kurang kuat cekramannya",Happy,Sadness,23.28787589073181,13.213001251220703,3.55291748046875
"alhamdulillah, produk ini sangat membantu. yang biasanya membersihkan wc pakai sikat, berisik, kerak tertinggal pada sikat, kelihatan kotor. sekarang tergantikan dengan cooger sikat toilet ini. bahan karetnya membantu saya membersihkan wc disegala waktu, tidak lagi membangunkan anak saya yang masih bayi karena berisik bunyi sikat saat membersihkan toilet / ember mandi. bahkan bisa membersihkan disela-sela bagian dalam dudukan wc (yang tidak bisa dijangkau sikat toilet konvensional). sedikit tips untuk menempelkan ke dinding keramik kamar mandi. setelah dibersihkan dengan lap kering/tisu kering, bisa ditambahkan hair dryer/korek api dibagian yang akan ditempel perekatnya. cara menempelkannya seperti memasang pelindung kaca layar hp. dikeluarkan bagian udara didalamnya dengan cara menempelkan bagian atas/bagian bawah (tergantung mana duluan). gosok2 pakai jari/kuku udara didalamnya sampai tidak ada udara didalam perekatnya.. cooger emang sesuai sama slogannya. rekomended jelas.",Happy,Love,25.959593296051025,13.286800384521484,3.55291748046875
"sesuai dengan pesanan, bahan halus, kayaknya adem...",Happy,Happy,22.629905223846436,13.26348876953125,3.55291748046875
"sudah terima packingnya rapi, bahannya lembut, enak dipake, kurir yg selalu ramah, mkshPotongannya rapi.",Happy,Happy,22.59682273864746,13.232368469238281,3.55291748046875
Barang Sesuai Deskripsi. Produk Original. Packaging Bagus.,Happy,Happy,22.35858941078186,13.248706817626953,3.55291748046875
"mantap, bagus dan teba",Happy,Happy,22.379359006881714,13.224803924560547,3.55291748046875
Sesuai deskripsi dan pesanan. Terimakasih,Happy,Happy,22.66991662979126,13.293697357177734,3.55291748046875
"Produk Sesuai. Material Produk Bagus. Cocok untuk di jadikan tmpt penyimpanan masker.. Jadi lbh rapi dan enak di lihat, gampang untuk mengambil masker..",Happy,Happy,22.97513437271118,13.584197998046875,3.55291748046875
"wae keren. alatnya berasa jadi pengrajin rokok. matap seler ramah pros�s cepat , pengiriman juga cepat.",Happy,Happy,23.414376735687256,13.519737243652344,3.55291748046875
Bagus dan ini order saya yang kedua.,Happy,Happy,22.924148559570312,13.443031311035156,3.55291748046875
Teksturnya creamy. Gampang dipakai. Packaging aman ??.,Happy,Happy,23.69483208656311,13.072265625,3.55291748046875
"masker bagus,sesuai harga`",Happy,Happy,22.773895978927612,12.988311767578125,3.55291748046875
bagus banget bahan nya juga adem ini bakal jadi langganan saya order baju tidur untuk suami ????,Happy,Love,22.742385625839233,12.663322448730469,3.55291748046875
respon baik mutu lumayan hrg terjangkau,Happy,Happy,22.243443965911865,12.699531555175781,3.55291748046875
Kualitas Produk Bagus. Produk Sesuai,Happy,Happy,22.322829008102417,12.68319320678711,3.55291748046875
"Bahan bagus, kain bisa melebar dan elastis",Happy,Happy,22.354114532470703,12.6759033203125,3.55291748046875
"Cepat, rapih dan aman. Saya mau beli lagi nanti ya",Happy,Happy,22.31531047821045,12.668495178222656,3.55291748046875
Cepat dan packing amanah bgt.kualitas susu sdh terjamin enak dan bermanfaat.thanks.,Happy,Happy,22.26429533958435,12.618175506591797,3.55291748046875
barang telah sampai dengan packaging yg bagus,Happy,Happy,22.315011501312256,12.590145111083984,3.55291748046875
ukurannya ada yg besar ada yg kecil tapi lumayan dengan harga segitu makasih ya??,Happy,Happy,22.278876543045044,12.645423889160156,3.55291748046875
"bagus, bisa nempel di kayu",Happy,Happy,22.214198350906372,12.666984558105469,3.55291748046875
"alhamdulillah barang sampai di tgl 6/11. Isi dusnya : instruction manual book, kartu garansi, stiker boya, tas kecil boya, seperangkat mic, batereinya & jack adaptor (kayaknya untuk koneksi ke amplifier).",Happy,Happy,22.989789962768555,12.667400360107422,3.55291748046875
Jahitannya rapi. Warnanya cantik ??. Bahannya lembut. Ukuran sesuai. Nyaman dipakai ?. Modelnya cantik ??. Bahannya adem.,Happy,Happy,22.454996824264526,12.632587432861328,3.55291748046875
Mantap keren. Cuma harus colok listrik kalau mau pakai fitur always-on. Kalau pake batre (AAA 3biji) harus dipencet dulu baru nyala,Happy,Happy,22.616179943084717,12.685562133789062,3.55291748046875
Pertama x custom dan hasil ny sesuai request,Happy,Happy,22.252881288528442,12.629508972167969,3.55291748046875
mantap paten joss,Happy,Happy,22.277462005615234,12.609920501708984,3.55291748046875
packing rapih aman makasih,Happy,Happy,22.319226026535034,12.645771026611328,3.55291748046875
warnanya ga sesuai photo di deskripsi warna sepatu di deskripsi aga' crem yang dateng abu2x gelap,Sadness,Sadness,23.13304352760315,12.682296752929688,3.55291748046875
Ada 1 shade yg salah kirim,Sadness,Sadness,22.640145540237427,11.879829406738281,3.55291748046875
barang biasa aja ...bahan kurang bgitu bagus,Sadness,Sadness,22.54425859451294,11.94961166381836,3.55291748046875
Jahitannya berantakan banget. gak kenceng aku benyeng dikit udah pada copot jahitannya...sedih,Sadness,Sadness,22.815645933151245,11.910480499267578,3.55291748046875
"bahan ny sih bagus, cm sayang pesen nya 2 datang ny 1. d chat ke seller ny jg d d baca, boro-boro ada penjelasan. seller g asiiiik g bs d ajak komunikasi",Sadness,Sadness,22.84077763557434,11.855342864990234,3.55291748046875
"Packingnya cm kresek krg aman, jd pas dateng peot pdhl buat d jual, haduhh..",Sadness,Sadness,22.839104652404785,11.929119110107422,3.55291748046875
"Kecewa dengan waktu pengiriman. Order jam 11.52 sengaja pilih sameday biar hari itu juga sampainya karena butuh cepat gendongan ini. Malah dikirim hari berikutnya. Kalau tidak bisa kirim di hari yang sama, tidak perlu diaktifkan pilihan kurir samedaynya. Atau infokan, untuk sameday itu maksimal order jam berapa baru bisa dikirim di hari yang sama.",Sadness,Sadness,23.684303998947144,11.88232421875,3.55291748046875
