text,actual,predicted,latency_sec,ram_gb,vram_gb,prompt_tokens,completion_tokens
buahnya bagus... kurirnya ok sellernya juga ok,Happy,Happy,1.6488122940063477,11.452388763427734,0.0,1159,16
"Ada sedikit cacat, selainnya oke",Happy,Fear,1.0757927894592285,11.454166412353516,0.0,1154,16
Jadi semangat mancing.,Happy,Happy,1.0833382606506348,11.46963119506836,0.0,1152,16
Cepat tiba n kemasan bagus. barangnya juga bagus,Happy,Happy,1.075972318649292,11.562358856201172,0.0,1158,16
Produk sesuai deskripsi??. Variasi produk beragam. Berfungsi dengan baik.,Happy,Happy,1.2416737079620361,11.573127746582031,0.0,1162,16
pelayanan memuaskan dan barang sesuai ??,Happy,Happy,0.9641125202178955,11.56722640991211,0.0,1155,16
"Barang bagus dan cepat sekali sampainya ke cianjur, hanya 2 hari.Best seller",Happy,Love,1.0764081478118896,11.501171112060547,0.0,1165,16
Bagus mantab jernih,Happy,Happy,0.9138839244842529,11.47903060913086,0.0,1153,16
"trmksh barang sesuai pesanan, fungsi normal... tingkatkan terus pelayanan...",Happy,Happy,1.131044626235962,11.46297836303711,0.0,1161,16
"Green screen sudah nyampe, bahan cukup tebal, mirip ntah sama dengan Positiveie bag yg bagus, warna hijau cerah, oke lah buat green screen",Happy,Happy,1.1878864765167236,11.458213806152344,0.0,1180,16
"lumayan lah, buat pemanasan",Happy,Happy,1.3326201438903809,11.458568572998047,0.0,1153,16
"paking rapih, kondisi barang datang mantap. kualitas sesuai harga.. joss",Happy,Happy,1.0308244228363037,11.475944519042969,0.0,1163,16
"produk asli original. suplemen bagus tanpa efek samping, semoga segera berproses utk menambah pigmen rambut. tks",Happy,Happy,0.8849971294403076,11.592941284179688,0.0,1174,16
barang bagus dan layanan bagus,Happy,Happy,1.1340527534484863,11.570060729980469,0.0,1151,16
"untuk harga sgitu bolehlah, dan penjual juga menjelaskan cara pakai dengan jelas dan teliti",Happy,Happy,0.9780938625335693,11.594257354736328,0.0,1168,16
"Cepet nyampe, seller oke",Happy,Happy,1.4775879383087158,11.589244842529297,0.0,1153,16
barang sdh nyampe dgn baik. senang banget terima paketnya. semoga sapunya awet. terima kasih. bersih bersih rumah. bersih rapi. bebas debu.,Happy,Happy,0.9767060279846191,11.594337463378906,0.0,1188,16
"Kainnya gk tipis, standar tebal batik biasa, adem , lembut, variant yg dikirim penjual , sesuai.",Happy,Happy,1.0377063751220703,11.572872161865234,0.0,1174,16
"Barusan saya tes untuk ambil sampah di sungai dekat rumah, untuk kekuatan daya cekram si alatnya masuk akal untuk harga segini. untuk ambil plastik mudah, tapi untuk ambil sampah kain atau sampah yg udah kekubur agak sulit karena kurang kuat cekramannya",Happy,Fear,0.9597032070159912,11.512836456298828,0.0,1208,16
"alhamdulillah, produk ini sangat membantu. yang biasanya membersihkan wc pakai sikat, berisik, kerak tertinggal pada sikat, kelihatan kotor. sekarang tergantikan dengan cooger sikat toilet ini. bahan karetnya membantu saya membersihkan wc disegala waktu, tidak lagi membangunkan anak saya yang masih bayi karena berisik bunyi sikat saat membersihkan toilet / ember mandi. bahkan bisa membersihkan disela-sela bagian dalam dudukan wc (yang tidak bisa dijangkau sikat toilet konvensional). sedikit tips untuk menempelkan ke dinding keramik kamar mandi. setelah dibersihkan dengan lap kering/tisu kering, bisa ditambahkan hair dryer/korek api dibagian yang akan ditempel perekatnya. cara menempelkannya seperti memasang pelindung kaca layar hp. dikeluarkan bagian udara didalamnya dengan cara menempelkan bagian atas/bagian bawah (tergantung mana duluan). gosok2 pakai jari/kuku udara didalamnya sampai tidak ada udara didalam perekatnya.. cooger emang sesuai sama slogannya. rekomended jelas.",Happy,Love,1.4686942100524902,11.50552749633789,0.0,1383,16
"sesuai dengan pesanan, bahan halus, kayaknya adem...",Happy,Happy,1.0349977016448975,11.502510070800781,0.0,1160,16
"sudah terima packingnya rapi, bahannya lembut, enak dipake, kurir yg selalu ramah, mkshPotongannya rapi.",Happy,Love,1.0095319747924805,11.502376556396484,0.0,1179,16
Barang Sesuai Deskripsi. Produk Original. Packaging Bagus.,Happy,Happy,1.7351362705230713,11.50015640258789,0.0,1159,16
"mantap, bagus dan teba",Happy,Happy,1.0500969886779785,11.489898681640625,0.0,1153,16
Sesuai deskripsi dan pesanan. Terimakasih,Happy,Happy,0.9285423755645752,11.488101959228516,0.0,1159,16
"Produk Sesuai. Material Produk Bagus. Cocok untuk di jadikan tmpt penyimpanan masker.. Jadi lbh rapi dan enak di lihat, gampang untuk mengambil masker..",Happy,Happy,1.1449089050292969,11.479286193847656,0.0,1185,16
"wae keren. alatnya berasa jadi pengrajin rokok. matap seler ramah pros�s cepat , pengiriman juga cepat.",Happy,Love,1.04541015625,11.475730895996094,0.0,1175,16
Bagus dan ini order saya yang kedua.,Happy,Happy,1.038017988204956,11.473907470703125,0.0,1154,16
Teksturnya creamy. Gampang dipakai. Packaging aman ??.,Happy,Happy,1.6573176383972168,11.472476959228516,0.0,1160,16
"masker bagus,sesuai harga`",Happy,Happy,0.9507923126220703,11.47097396850586,0.0,1154,16
bagus banget bahan nya juga adem ini bakal jadi langganan saya order baju tidur untuk suami ????,Happy,Love,1.313668966293335,11.476154327392578,0.0,1168,16
respon baik mutu lumayan hrg terjangkau,Happy,Happy,1.0304152965545654,11.463539123535156,0.0,1157,16
Kualitas Produk Bagus. Produk Sesuai,Happy,Happy,0.8779747486114502,11.456058502197266,0.0,1156,16
"Bahan bagus, kain bisa melebar dan elastis",Happy,Happy,1.0325419902801514,11.455020904541016,0.0,1157,16
"Cepat, rapih dan aman. Saya mau beli lagi nanti ya",Happy,Happy,1.0479395389556885,11.455646514892578,0.0,1160,16
Cepat dan packing amanah bgt.kualitas susu sdh terjamin enak dan bermanfaat.thanks.,Happy,Happy,1.0681607723236084,11.458820343017578,0.0,1169,16
barang telah sampai dengan packaging yg bagus,Happy,Happy,1.136781930923462,11.444927215576172,0.0,1153,16
ukurannya ada yg besar ada yg kecil tapi lumayan dengan harga segitu makasih ya??,Happy,Happy,1.2204434871673584,11.438434600830078,0.0,1166,16
"bagus, bisa nempel di kayu",Happy,Happy,1.0449421405792236,11.438411712646484,0.0,1155,16
"alhamdulillah barang sampai di tgl 6/11. Isi dusnya : instruction manual book, kartu garansi, stiker boya, tas kecil boya, seperangkat mic, batereinya & jack adaptor (kayaknya untuk koneksi ke amplifier).",Happy,Happy,1.150289535522461,11.410289764404297,0.0,1199,16
Jahitannya rapi. Warnanya cantik ??. Bahannya lembut. Ukuran sesuai. Nyaman dipakai ?. Modelnya cantik ??. Bahannya adem.,Happy,Love,0.9838221073150635,11.380928039550781,0.0,1181,16
Mantap keren. Cuma harus colok listrik kalau mau pakai fitur always-on. Kalau pake batre (AAA 3biji) harus dipencet dulu baru nyala,Happy,Happy,1.4940788745880127,11.286388397216797,0.0,1183,16
Pertama x custom dan hasil ny sesuai request,Happy,Happy,1.122081995010376,11.283653259277344,0.0,1155,16
mantap paten joss,Happy,Happy,1.6371610164642334,11.283775329589844,0.0,1152,16
packing rapih aman makasih,Happy,Happy,0.960010290145874,11.263015747070312,0.0,1153,16
warnanya ga sesuai photo di deskripsi warna sepatu di deskripsi aga' crem yang dateng abu2x gelap,Sadness,Fear,1.1412482261657715,11.322948455810547,0.0,1171,16
Ada 1 shade yg salah kirim,Sadness,Sadness,1.0039098262786865,11.324081420898438,0.0,1154,17
barang biasa aja ...bahan kurang bgitu bagus,Sadness,Sadness,1.0039215087890625,11.329521179199219,0.0,1156,17
Jahitannya berantakan banget. gak kenceng aku benyeng dikit udah pada copot jahitannya...sedih,Sadness,Sadness,1.4837524890899658,11.34908676147461,0.0,1175,17
"bahan ny sih bagus, cm sayang pesen nya 2 datang ny 1. d chat ke seller ny jg d d baca, boro-boro ada penjelasan. seller g asiiiik g bs d ajak komunikasi",Sadness,Anger,1.0352416038513184,11.350109100341797,0.0,1197,17
"Packingnya cm kresek krg aman, jd pas dateng peot pdhl buat d jual, haduhh..",Sadness,Sadness,0.9713306427001953,11.344856262207031,0.0,1171,17
"Kecewa dengan waktu pengiriman. Order jam 11.52 sengaja pilih sameday biar hari itu juga sampainya karena butuh cepat gendongan ini. Malah dikirim hari berikutnya. Kalau tidak bisa kirim di hari yang sama, tidak perlu diaktifkan pilihan kurir samedaynya. Atau infokan, untuk sameday itu maksimal order jam berapa baru bisa dikirim di hari yang sama.",Sadness,Sadness,1.0526916980743408,11.387710571289062,0.0,1233,17
"Dlm ordernya sdh sy tambah 'bubble wrap' (+ rp 10.000), tp dikirimnya tanpa bubble. Lagian ordernya pagi2 n minta spy dikirimnya lbh cepat (instant), ternyata tibanya jam 16an",Sadness,Sadness,0.9405295848846436,11.386215209960938,0.0,1198,17
