title,actual,predicted,latency_sec,ram_gb,vram_gb
Gunung Sampah di Cilebut Bogor Bikin Sungai Ciliwung Tercemar,0,0,27.968873023986816,11.735767364501953,3.57440185546875
"Tulis 'Orang-Orang Biasa', Andrea Hirata Perjuangkan Pendidikan untuk Kaum Tak Mampu",0,0,8.394905090332031,11.514110565185547,3.57440185546875
"43 Penerbangan Terganggu Asap, Ratusan Penumpang Tujuan Kalimantan Telantar",0,0,7.547529220581055,11.301712036132812,3.57440185546875
"Bicara soal Gading Marten, Gisella Anastasia Menahan Tangis",1,0,7.116576433181763,11.348445892333984,3.57440185546875
Pelatih Leicester Tatap Laga Kontra Man United dengan Kepercayaan Diri Tinggi,0,0,7.1113197803497314,11.401382446289062,3.57440185546875
"Terdampak Tol Desari, Jalan Tanah Baru Depok Akan Diperlebar Tahun Ini",0,0,7.4475791454315186,11.439861297607422,3.57440185546875
Polemik PB Djarum vs KPAI yang Berujung Stop Audisi...,1,0,7.39590048789978,11.455131530761719,3.57440185546875
Laode Ungkap Banyak Karyawan KPK Menangis Pasca Revisi UU Disahkan,0,0,7.301459312438965,11.391288757324219,3.57440185546875
"Permintaan Terakhir Bocah yang Dibully Hingga Tewas, Fatir Ahmad Sebut Nama Seseorang Agar Ditangkap",1,1,6.8951256275177,11.332130432128906,3.57440185546875
"Habibie Wafat, R80 Diusulkan Jadi Proyek Strategis Nasional",0,0,6.94258975982666,11.31760025024414,3.57440185546875
Walhi Minta Restorasi Gambut Dievaluasi,0,0,6.328955888748169,11.319259643554688,3.57440185546875
"Soal Perburuan Scudetto, Llorente: Tekanan Ada pada Juventus",0,0,6.771550893783569,11.313209533691406,3.57440185546875
"Ada Petisi Ganti Nama BIJB dengan BJ Habibie, Ridwan Kamil Beri Dukungan",0,0,6.962768077850342,11.310447692871094,3.57440185546875
"Anggaran Bansos Naik, Warga tak Hanya Dapat Beras dan Telur",0,0,6.75700044631958,11.343441009521484,3.57440185546875
Inggris Mengaku Tak Tahu Dalang Serangan Kilang Minyak Saudi,0,0,7.0512754917144775,11.298622131347656,3.57440185546875
Ingin Jadi Digital Marketing Sukses? Pastikan Punya Sifat ini,1,1,6.1665380001068115,11.237297058105469,3.57440185546875
"Jelang Pernikahan, Hailey Baldwin Dapat Pesta Bachelorette yang Seru dan Nakal!",1,1,6.562619209289551,11.233909606933594,3.57440185546875
"Barbie Kumalasari Bocorkan Honor Sekali Tampil di TV, Tembus Dua Digit!",1,1,6.6733527183532715,11.253833770751953,3.57440185546875
"Tak Malu jadi Sugar Baby, Jeane Ajak Sesama Wanita untuk Ikuti Caranya Cari Uang, Mau?",1,1,6.704256296157837,11.245803833007812,3.57440185546875
